"","original_variables","modified_variables"
"1","psilocybin_source_family_member","psilocybin_source_family_membe"
"2","psilocybin_source_illegal_seller","psilocybin_source_illegal_sell"
"3","psilocybin_source_online_retailer","psilocybin_source_online_retai"
"4","psilocybin_form_bought_fresh_whole","psilocybin_form_bought_fresh_w"
"5","psilocybin_form_bought_dried_whole","psilocybin_form_bought_dried_w"
"6","psilocybin_form_bought_capsules","psilocybin_form_bought_capsule"
"7","psilocybin_form_bought_beverage","psilocybin_form_bought_beverag"
"8","psilocybin_form_bought_prepared_product","psilocybin_form_bought_prepare"
"9","psilocybin_form_bought_blended_food","psilocybin_form_bought_blended"
"10","psilocybin_form_bought_synthetic","psilocybin_form_bought_synthet"
"11","psilocybin_form_consumed_fresh_whole","psilocybin_form_consumed_fresh"
"12","psilocybin_form_consumed_dried_whole","psilocybin_form_consumed_dried"
"13","psilocybin_form_consumed_capsules","psilocybin_form_consumed_capsu"
"14","psilocybin_form_consumed_beverage","psilocybin_form_consumed_bever"
"15","psilocybin_form_consumed_prepared_product","psilocybin_form_consumed_prepa"
"16","psilocybin_form_consumed_blended_food","psilocybin_form_consumed_blend"
"17","psilocybin_form_consumed_synthetic","psilocybin_form_consumed_synth"
"18","agree_sex_with_familiar_partners","agree_sex_with_familiar_partne"
"19","opinion_professional_admin_only","opinion_professional_admin_onl"
"20","social_approval_important_people","social_approval_important_peop"
"21","impact_reduction_habitual_thoughts","impact_reduction_habitual_thou"
"22","impact_appreciation_surroundings","impact_appreciation_surroundin"
"23","duration_reduction_habitual_thoughts","duration_reduction_habitual_th"
"24","duration_appreciation_art_music","duration_appreciation_art_musi"
"25","duration_appreciation_surroundings","duration_appreciation_surround"
"26","ever_taken_prescription_mental_health","ever_taken_prescription_mental"
"27","ever_psilocybin_under_professional_supervision","ever_psilocybin_under_professi"
"28","professional_psilocybin_recommend_no_provide_no_supervise","professional_psilocybin_recomm"
"29","professional_psilocybin_recommend_provide_no_supervise","professional_psilocybin_recomm_1"
"30","professional_psilocybin_recommend_supervise_no_provide","professional_psilocybin_recomm_2"
"31","professional_psilocybin_recommend_provide_supervise","professional_psilocybin_recomm_3"
"32","professional_no_recommend_supervise_no_provide","professional_no_recommend_supe"
"33","professional_no_recommend_supervise_provide","professional_no_recommend_supe_1"
"34","professional_psilocybin_scenarios_none","professional_psilocybin_scenar"
"35","psilocybin_therapy_times_past12m","psilocybin_therapy_times_past1"
"36","ntb_not_bothered_by_nonacceptance","ntb_not_bothered_by_nonaccepta"
"37","ntb_need_people_in_times_of_need","ntb_need_people_in_times_of_ne"
"38","ntb_feelings_hurt_by_nonacceptance","ntb_feelings_hurt_by_nonaccept"
"39","relational_needs_satisfaction_scale_shared_life_experiences","rel_needs_sat_scale_shared_lif"
"40","relational_needs_satisfaction_scale_no_hiding_with_close_others","rel_needs_sat_scale_no_hiding_"
"41","relational_needs_satisfaction_scale_reliable_protective_person","rel_needs_sat_scale_reliable_p"
"42","relational_needs_satisfaction_scale_help_in_trouble","rel_needs_sat_scale_help_in_tr"
"43","relational_needs_satisfaction_scale_people_with_similar_experiences","rel_needs_sat_scale_people_wit"
"44","relational_needs_satisfaction_scale_others_value_my_advice","rel_needs_sat_scale_others_val"
"45","relational_needs_satisfaction_scale_help_without_asking","rel_needs_sat_scale_help_witho"
"46","relational_needs_satisfaction_scale_shared_worldview","rel_needs_sat_scale_shared_wor"
"47","relational_needs_satisfaction_scale_nice_surprises_from_others","rel_needs_sat_scale_nice_surpr"
"48","relational_needs_satisfaction_scale_unexpected_help_from_close_others","rel_needs_sat_scale_unexpected"
"49","relational_needs_satisfaction_scale_free_to_express_self","rel_needs_sat_scale_free_to_ex"
"50","relational_needs_satisfaction_scale_no_pretending_with_important_others","rel_needs_sat_scale_no_pretend"
"51","relational_needs_satisfaction_scale_supportive_person_in_life","rel_needs_sat_scale_supportive"
"52","relational_needs_satisfaction_scale_share_experiences_with_others","rel_needs_sat_scale_share_expe"
"53","relational_needs_satisfaction_scale_influence_on_others","rel_needs_sat_scale_influence_"
"54","relational_needs_satisfaction_scale_true_self_without_fear","rel_needs_sat_scale_true_self_"
"55","relational_needs_satisfaction_scale_strong_support_in_trouble","rel_needs_sat_scale_strong_sup"
"56","relational_needs_satisfaction_scale_no_nice_surprises","rel_needs_sat_scale_no_nice_su"
"57","relational_needs_satisfaction_scale_others_follow_my_suggestions","rel_needs_sat_scale_others_fol"
"58","relational_needs_satisfaction_scale_others_seek_my_opinions","rel_needs_sat_scale_others_see"
"59","social_similarity_understanding","social_similarity_understandin"
